Aaa小小怪,1830701414,人不能两次踏入同一条河流，因为无论是这条河还是这个人都已经不同。,2019-12-13 16:50:32
EricWinfield,1342502752,奥利给,2019-12-13 16:50:30
veirbiu,125181616,一打开 这声音 酥了 薛之谦你到底可以多温柔…,2019-12-13 16:50:30
住在深海的大菠萝A,1731068428,我知道你在赶来的路上 穿越人海后一定要紧紧抱住我,2019-12-13 16:50:20
xzqdfs,635863823,你是我缺一不可的人 我不能没有你,2019-12-13 16:50:20
daXaaaa,1378277401,“有一天晚上 梦一场你白发苍苍 说带我流浪.”,2019-12-13 16:50:01
爹爹YF,430232908,愿前程似锦,2019-12-13 16:49:53
我的晴天女孩_,615918438,快告诉我，你在赶来的路上！,2019-12-13 16:49:44
xzqdfs,635863823,我还是抵抗不了你的声音 我必须控制自己别疯狂的想你 薛之谦,2019-12-13 16:49:32
失重现象,294186567,没人来打扰，这故事挺好,2019-12-13 16:49:27
耳朵被阿薛怪坏,1756239087,一直在。,2019-12-13 16:49:19
予你万千欢喜_,1637850635,爱了,2019-12-13 16:49:17
你是滚烫星河,612825819,这个女孩难道不算坏人吗,2019-12-13 16:49:15
SSS930910,1461166338,正在循环中,2019-12-13 16:49:14
十七七十_,1905849139,我只是个普通人啊，不能那么那么的爱你,2019-12-13 16:49:11
欧巴了解一下,1689041649,你在来的路上，但我不会等你了。,2019-12-13 16:49:02
池夫-,2053926120,我想你抛下一切 跟我去流浪,2019-12-13 16:48:57
是凌云凌云啦,1361317311,李星宇～我说的可以和你去广州，是认真的,2019-12-13 16:48:57
尘--木偶人,1674372575,新歌打卡,2019-12-13 16:48:53
Echosssss_______,318076210,这条评论也让我泪目,2019-12-13 16:48:44
周煜耀,1465709120,刚发了新歌 歌名就是自己名字写给自己 希望有人懂来自小众音乐人的呐喊希望就算不好听也可以为我留下评论❤️大家可以理解我在蹭热度我也做好被骂的准备但还是希望自己的歌有人可以听到,2019-12-13 16:48:41
你是滚烫星河,612825819,前程似锦,2019-12-13 16:48:30
Echosssss_______,318076210,是的是的[流泪],2019-12-13 16:48:24
