不二臣_yh9,1445264204,追书神器,2019/12/13 16:54
白衣忆旧,504628457,反正我也是不了解你这个人，就随便说你个憨憨吧。,2019/12/13 16:53
LYXIAOXIANNUI,1873274672,2018 出山2019 下山2020 移山2021 炸山2022 拼山2023 爬山2024 归山,2019/12/13 16:52
知雪qyl,1540879551,生日快乐,2019/12/13 16:52
白衣忆旧,504628457,别人作品你不是随意评论？不了解就随便说？老子也不晓得你是个什么东西，不了解，我可以随意指指点点你吗？,2019/12/13 16:52
TooFresh米特,261898931,要不要买菜到底是什么神仙 大笑 ,2019/12/13 16:50
我从这路过,1494339991,你给我上酒，我给你叫好！,2019/12/13 16:50
jistuv,1796471301,一会儿出山，一会儿下山的 多多捂脸 ,2019/12/13 16:49
柳徙南,484830162,haha,2019/12/13 16:49
optismis,577063143,此剑抚平天下不平事，此剑无愧世间有愧人,2019/12/13 16:49
忘了吧180415,1429794810,祝我生日快乐 ,2019/12/13 16:48
周煜耀,1465709120,刚发了新歌 歌名就是自己名字写给自己 希望有人懂来自小众音乐人的呐喊希望就算不好听也可以为我留下评论 大家可以理解我在蹭热度我也做好被骂的准备但还是希望自己的歌有人可以听到,2019/12/13 16:48
木子明空997,575386950,雪中悍刀行,2019/12/13 16:47
袅袅兮秋风xy,539824917,怎么突然刷起雪中悍刀行了呀，有关系么，不过我好激动，大爱雪中 大笑 ,2019/12/13 16:47
再见时眼红,1732785532, 多多大笑 ,2019/12/13 16:47
心像黑洞,113538026,请问有没有人和我的感觉差不多 听过这类型的歌 很相像的感觉 但我忘记歌名了 谁能推荐一下,2019/12/13 16:47
做我的玉,1698902955,爱你！！！！！,2019/12/13 16:46
抹夕1904,1827953227,出山，下山。,2019/12/13 16:44
恶魔191118,2048769760,前年出山火，今年下山火，那明年是什么山火 多多大笑 ,2019/12/13 16:42
憨憨一点都不憨,1544025861,最近抖音是真的被那个金刚芭比刷爆了,2019/12/13 16:42
生于希望之中死于绝望之时,1365842144,wdnmd 去年出山 今年下山？,2019/12/13 16:40
朱夫人0920,1839719697,跪求小说名，谢谢,2019/12/13 16:40
smashout,527998039,哇，要哭了,2019/12/13 16:40
解忧杂货店wq,2068793086,枕头 他又哭了被子 嘘！别吵他，他可能累了，让他哭吧，你帮他擦擦眼泪枕头 那你记得抱紧他，别让他着凉了,2019/12/13 16:40
凌筱1711,644382846,大家好 我是下山兄弟 就爬山 多多笑哭 ,2019/12/13 16:39
何以离欢171114,1286309104,这个冬天，要不失可爱，要过得热气腾腾,2019/12/13 16:39
千诺天邢,1549513456,一个出山，一个上山，是不是还要出个爬山啊？,2019/12/13 16:39
何以离欢171114,1286309104,时间的手总是不肯稽延。但愿明天也会永远新鲜。,2019/12/13 16:38
年少衣白之我本轻狂,308523292,看到那么多雪中粉，有点莫名感动,2019/12/13 16:38
敲级阔爱的烟雨,353577147,雪中悍刀行，满书字句皆是江湖,2019/12/13 16:38
愿吾安心,1453633306,特别喜欢那种气质清冷的人，好似这世间纷乱无一事能扰了他的心，没有过分热络的样子，没有讨好世间的谄笑，他们眼中只有脚下的路，眸子里从不掺杂多余的情绪，却也不是冷漠，只不过将此生所有的柔情都留给了生命里重要的人，与旁人只是淡淡如水的交情，却也装着漫不经心的样子关注着身旁陌路的老人和小,2019/12/13 16:38
角落里的小恶魔,558059838,烧烤的孜然么 大哭 ,2019/12/13 16:37
聆听世界敏,1796827830, 西西晕了 西西晕了 多多捂脸 多多捂脸 ,2019/12/13 16:37
夏日南故,410736121,给秀儿搬凳子,2019/12/13 16:36
遛狗小队长,103855973,一听这个就想到那个可爱的金刚芭比 呆 ,2019/12/13 16:36
青峰岚雨,114882152,道法孜然是认真的吗， 大哭 大哭 大哭 大哭 大哭 大哭 大哭 ,2019/12/13 16:34
aaaa贺某是吃奥利给大姐,636154593,冒泡,2019/12/13 16:34
一定要做一个温柔的人L,430635901,先是出山然后又下山下一首是不是炸山？,2019/12/13 16:31
万事丿勝意,1409744198,骑牛的，我姐如何,2019/12/13 16:31
U-Cf,1315366261,口齿不清？,2019/12/13 16:30
异名相斥,347582395,多读书少说话,2019/12/13 16:30
何雨洁-,535679489,人间理想是肖战,2019/12/13 16:30
黑幽默x,412477790,80000？,2019/12/13 16:28
一个不愿透露姓名的音乐爱好者,1741497361,好像我的一次经历 ,2019/12/13 16:28
沐云河,1800883145,哪吒,2019/12/13 16:28
H大梦,1313059054,红袖读书搜索 H大梦,2019/12/13 16:28
感觉自己像个仙女,1314280510,我觉得先上山再爬山 大哭 大哭 大哭 ,2019/12/13 16:25
黑幽默x,412477790,嘴里有 有个茄子？,2019/12/13 16:25
零乱灬-,1571499137,哪怕胡 94tuwpp705478zcyy,2019/12/13 16:24
不知名的昆虫,1513821119,评论区说的是什么小说？,2019/12/13 16:23
思绪飘远方不回,506687674,脂虎，渭熊，凤年,2019/12/13 16:23
黑幽默x,412477790,同感，特地查了一下有没有上山,2019/12/13 16:23
陌声熟语,1696623809,我想修道,2019/12/13 16:21
大妖要吃鱼,1630448344,看来不给你赞是不行了,2019/12/13 16:20
萨尔布鲁克,110566798,学谁不好学周杰伦，不知道唱的什么。,2019/12/13 16:20
九度190622,1889416247,可以,2019/12/13 16:20
若邪---,1499031466,王也就是道，王也就是理,2019/12/13 16:19
君墨子ing,1986931166,终于发出来了 ,2019/12/13 16:18
音阙诗听的大龄歌迷,269445669,就知道会有雪中！顶起来！,2019/12/13 16:18
真的难搞哦哦,646892636,2018 出山2019 下山2020 移山2021 炸山2022 拼山2023 爬山2024 归山,2019/12/13 16:18
君墨子ing,1986931166,明明发出来了为什么看不到啊，真的是破烦得很，酷我也是，我听首歌有感而发，写了段听这首歌时我脑中显现的场景，打了字，明明发表成功却又看不到，这那么回事嘛？出bug了吗？,2019/12/13 16:17
草泥马嘿嘿嘿嘿,511483188,滚。我不搞基，,2019/12/13 16:16
风之彼岸一,541524005,北凉，不悲凉。北凉，死战。,2019/12/13 16:15
旧O梦v离O殇,1507483348,炸山！ ,2019/12/13 16:15
加菲猫大爷,258866526,神他妈路人甲 大哭 ,2019/12/13 16:14
该此账号已注销,1529447561,过年前还也可以炸山的 多多耍酷 ,2019/12/13 16:14
早餐y,273366114,雪中悍刀行,2019/12/13 16:13
该此账号已注销,1529447561,可能是叭 呲牙 ,2019/12/13 16:12
夜深露重情更浓,1381045017,有种一人之下王也的感觉，，，武当王也拜见老天师,2019/12/13 16:12
编辑资料181020,1646918781,导师再见！！！！,2019/12/13 16:11
君墨子ing,1986931166,“师傅！我下山了！”小徒弟仰着头，笑得率真无邪，脸上有难掩的兴奋。老师傅看着没心没肺的徒弟，摸着下巴上被徒弟偷偷剃掉后刚新长出来的刺儿胡。“小子！要给你师傅我长脸啊！”“放心吧师傅”徒弟转过身，大步流星。“小子！”师傅突然叫住了徒弟“要是受了委屈，就回来！”,2019/12/13 16:11
妄想解脱,1645562913,九天之云滚滚下垂。整座武当山紫气浩荡。他朗声道 “贫道五百年前散人吕洞玄，五十年前龙虎山齐玄帧，如今武当洪洗象，已修得七百年功德。”“贫道立誓，愿为天地正道再修三百年！” .“只求天地开一线，让徐脂虎飞升！”年轻道士声如洪钟，响彻天地间。,2019/12/13 16:10
曼珠与,491514499,君只见，君只见三十万铁骑甲天下,2019/12/13 16:09
是阿羊噢,366035473,我这辈子可能都忘不掉金刚芭比小钢蛋了,2019/12/13 16:08
Gisele_H,133381715,什么鬼,2019/12/13 16:07
呖呖啦啦啦呖,284426191,看了抖音，莫名觉得和一夜新娘很搭 多多大笑 ,2019/12/13 16:06
机智的谢先森,292384805,每次听这首歌总是想起那个一拳就能安排我的妞 惶恐 ,2019/12/13 16:04
非洲小胖子,320559809,9021年读了研究生还有人因为你成绩不好不和你玩？？,2019/12/13 16:03
张月亮ya,1770322576,在等一个很宠很宠我的人呀,2019/12/13 16:03
是粟久啊,1805687873,无人上山嘛,2019/12/13 16:03
Deer-Deer-Deer,1566790945,嘿嘿，一开始就下载还是很正确的,2019/12/13 16:01
苏炸炸呼呼,254783755,加油 ,2019/12/13 16:01
顾影迷离,452088445,2018年的出山，今年的下山，明年会是什么山？,2019/12/13 16:00
你是一个秘密-,334007901,北凉，抽刀。,2019/12/13 15:59
我曾七次鄙视自己的灵魂-,58597889,尬死了,2019/12/13 15:59
洛水之北丶,310672655,md，雪中的书粉ky的毛病改不过来了吗,2019/12/13 15:58
喜望江桥,1440304708,？？啥子小说？,2019/12/13 15:58
李雪_-影,1722903000,我也是 刚听我以为这应该是之前的歌 看时间却是新歌,2019/12/13 15:57
无所谓-也无畏,1325037100,道法孜然 多多捂脸 肯定很香,2019/12/13 15:56
15373317617,1515552127,这不下山吗,2019/12/13 15:56
一次ii,1587150830,月下遛鸟,2019/12/13 15:56
长谷川辰雄sk,330524377,雪中悍刀行那 不看会后悔,2019/12/13 15:56
巧克力啊晽,1291655289,今天去小学社会实践，问小学生们有没有什么想学的歌， 出山 ！！齐刷刷... ,2019/12/13 15:51
生有涯-,1504589497,剑来！天不生我李淳罡 T T,2019/12/13 15:51
我陪你一个人吧,533439383,冲！！！我后天就艺考啦！,2019/12/13 15:49
哎哟喂丶oc,1594985513,我忘不了那个出了一身肉装的哪吒,2019/12/13 15:47
奇怪的她11,379595124,给科普一下这首歌,2019/12/13 15:47
射击能手,265090910,来日方丈,2019/12/13 15:46
小米也爱撸,345116882,和方文山的曲风有一拼,2019/12/13 15:45
南橘未熟,1501953851,来日方长,2019/12/13 15:44
酒只闻不沽,615215672,我永远也忘不了那个金刚芭比 流泪 流泪 流泪 ,2019/12/13 15:42
诗雨只思雨,1896246161,雪中悍刀行,2019/12/13 15:40
故梦zxm,360062435,你不会是见鬼了吧 大哭 ,2019/12/13 15:38
wangbosenss,1748842539,见识下雪友的能量！,2019/12/13 15:38
丿逆羽灬影,473866356,武当王也拜见老天师 西西机智 ,2019/12/13 15:37
HAOYUXINya,372106934,宝儿姐,2019/12/13 15:37
文轩万仇,1306623184,风紧！少爷，老黄我就不扯呼了,2019/12/13 15:37
AEIou丶柒,1665138035,17岁那年我遇见了你,2019/12/13 15:36
是狗时a,444892471,啥是孜然！？,2019/12/13 15:35
BLUE_听澈,2062594024,要是配送自来也和鸣人做一个mv感觉也会不错,2019/12/13 15:34
欲拂还满,644764992,红泥小火炉，绿蚁新培酒,2019/12/13 15:32
苦寒松柏,589885073,红薯没死啊,2019/12/13 15:30
白城愿我梦,445930780,雪中悍刀行兄弟不是倚天屠龙记 汗 汗 ,2019/12/13 15:30
少年的山河,372496221,那年武帝城头，老黄临终死而不倒，身边便是天下第二的王仙芝，老黄只是面北说了一句 “来，给少爷上酒呐。”,2019/12/13 15:29
善裔fallen,316549263,请起,2019/12/13 15:28
彭彭和老戴,634862706,绿袍你看我这一剑,2019/12/13 15:28
方中堂,498028466,骑牛的他不敢下山,2019/12/13 15:27
T1mes0day,274744181,红豆生南国，春来发枝冬凋敝，相思不如不相思。,2019/12/13 15:27
一纯白一,447604166,牛批,2019/12/13 15:26
浊蜀,1483727963,看歌手的名字,2019/12/13 15:26
尹次獒,578308115,他陈正华懂个屁的剑来！,2019/12/13 15:25
